,index,url,supermarket,referencia
928,382,https://tienda.mercadona.es/product/3387/media-calabaza-cacahuete-12-pieza,mercadona-es,100181
5,498,https://www.carrefour.es/supermercado/chuleta-de-aguja-de-cerdo-carrefour-1-kg-aprox/R-521032495/p,carrefour-es,100182
6,499,https://www.carrefour.es/supermercado/escalopin-de-lomo-de-cerdo-fresco-marinado-el-pozo-extratiernos-600-g/R-605301855/p,carrefour-es,100183
7,500,https://www.carrefour.es/supermercado/jamon-de-cerdo-troceado-carrefour-600-g-aprox/R-521032507/p,carrefour-es,100184
8,501,https://www.carrefour.es/supermercado/filete-de-cabeza-de-lomo-de-cerdo-carrefour-500-g-aprox/R-521034617/p,carrefour-es,100185
9,612,https://www.carrefour.es/supermercado/oreja-de-cerdo-cocida-adobada-carrefour-400-g/R-VC4AECOMM-586133/p,carrefour-es,100186
10,1340,https://www.carrefour.es/supermercado/cortezas-de-cerdo-fritas-classic-carrefour-sin-gluten-75-g/R-VC4AECOMM-731168/p,carrefour-es,100187
11,1342,https://www.carrefour.es/supermercado/morritos-de-cerdo-175-g/R-653301813/p,carrefour-es,100188
12,1528,https://www.carrefour.es/supermercado/pate-de-higado-de-cerdo-classic-carrefour-pack-de-4-unidades-de-78-g/R-521006577/p,carrefour-es,100189
13,1568,https://www.carrefour.es/supermercado/paleta-de-cerdo-asada-sin-hueso-benaojan-750-g-aprox/R-607402485/p,carrefour-es,100190
15,2374,https://www.carrefour.es/supermercado/solomillo-de-cerdo-carrefour-12-kg-aprox/R-VC4AECOMM-518437/p,carrefour-es,100191
19,2384,https://www.carrefour.es/supermercado/lomo-iberico-de-cerdo-adobado-200-g/R-530706179/p,carrefour-es,100192
23,2392,https://www.carrefour.es/supermercado/longaniza-blanca-de-cerdo-fresca-elpozo-650-g/R-521032764/p,carrefour-es,100193
1113,2392,https://tienda.mercadona.es/product/29044/refresco-limon-hacendado-fresh-gas-lata,mercadona-es,100194
25,2398,https://www.carrefour.es/supermercado/lomo-de-cerdo-adobado-al-horno-el-pozo-330-g/R-530706207/p,carrefour-es,100195
325,2398,https://www.dia.es/compra-online/cuidado-del-hogar/utensilios-de-limpieza/p/122122,dia-es,100196
26,2399,https://www.carrefour.es/supermercado/albondigas-de-cerdo-carrefour-400-g/R-526530170/p,carrefour-es,100197
194,1095,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/foie-pates-y-sobrasadas/p/278654,dia-es,100198
195,1126,https://www.dia.es/compra-online/despensa/pates-y-foies/p/278655,dia-es,100199
196,1532,https://www.dia.es/compra-online/frescos/carne/cerdo/p/210871,dia-es,100200
197,1533,https://www.dia.es/compra-online/frescos/carne/cerdo/p/221940,dia-es,100201
198,1534,https://www.dia.es/compra-online/frescos/carne/cerdo/p/260899,dia-es,100202
199,1536,https://www.dia.es/compra-online/frescos/carne/cerdo/p/271754,dia-es,100203
200,1539,https://www.dia.es/compra-online/frescos/carne/cerdo/p/284932,dia-es,100204
1187,1539,https://tienda.mercadona.es/product/73160/coloracion-permanente-579-marron-chocolate-deliplus-colorcor-caja,mercadona-es,100205
